City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Yinchuan,CN,38.4681,106.2731,76.06,61,100,1.59,overcast clouds
134,Cherskiy,RU,68.75,161.3,39.22,75,100,14.2,overcast clouds
135,Castro,BR,-24.7911,-50.0119,56.37,93,100,2.84,overcast clouds
136,Tanza,PH,14.6753,120.9389,88.18,66,39,5.99,scattered clouds
137,Vuktyl,RU,63.8567,57.3094,62.49,62,53,8.05,broken clouds
138,Provideniya,RU,64.3833,-173.3,39.36,100,100,11.18,fog
139,Vanimo,PG,-2.6741,141.3028,84.74,68,54,4.9,broken clouds
140,Butaritari,KI,3.0707,172.7902,82.71,70,18,13.0,few clouds
141,Oyem,GA,1.5995,11.5793,65.95,99,82,1.86,broken clouds
142,Medford,US,42.3265,-122.8756,78.53,42,0,4.61,clear sky
143,Leningradskiy,RU,69.3833,178.4167,47.93,79,100,1.99,overcast clouds
144,Kidal,ML,18.4411,1.4078,89.19,27,6,3.24,clear sky
145,Weston,US,26.1004,-80.3998,82.99,84,100,4.61,overcast clouds
146,Ust-Koksa,RU,50.2696,85.6108,62.92,67,82,1.52,broken clouds
147,Flin Flon,CA,54.7682,-101.865,58.98,93,100,8.41,overcast clouds
148,Havre,FR,49.5833,0.3333,56.34,82,0,9.22,clear sky
149,Mayo,US,38.8876,-76.5119,71.26,74,0,1.01,clear sky
150,Bethel,US,41.3712,-73.414,66.94,74,0,3.44,clear sky
151,Upernavik,GL,72.7868,-56.1549,32.94,90,81,10.27,broken clouds
152,Fort Nelson,CA,58.8053,-122.7002,69.39,60,75,3.44,broken clouds
153,Stornoway,GB,58.2093,-6.3865,53.92,95,100,4.61,overcast clouds
154,Verkhnevilyuysk,RU,63.4453,120.3167,57.99,42,100,7.81,overcast clouds
155,Kavieng,PG,-2.5744,150.7967,84.92,66,74,7.49,broken clouds
156,Mar Del Plata,AR,-38.0023,-57.5575,49.08,79,0,4.61,clear sky
157,Cabo San Lucas,MX,22.8909,-109.9124,84.61,75,0,9.22,clear sky
158,Lavrentiya,RU,65.5833,-171.0,41.99,89,100,12.41,overcast clouds
159,Saldanha,ZA,-33.0117,17.9442,53.65,64,96,6.29,overcast clouds
160,Pochutla,MX,15.7432,-96.4661,80.82,92,100,1.92,overcast clouds
161,Chapais,CA,49.7834,-74.8492,62.38,48,100,6.49,overcast clouds
162,Mitsamiouli,KM,-11.3847,43.2844,77.77,69,7,16.35,light rain
163,Asau,RO,46.4333,26.4,60.28,93,4,6.42,clear sky
164,Nome,US,64.5011,-165.4064,57.16,75,0,11.5,clear sky
165,Sitka,US,57.0531,-135.33,51.69,87,100,12.66,mist
166,Saskylakh,RU,71.9167,114.0833,58.62,41,98,3.02,overcast clouds
167,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,4.61,broken clouds
168,Lodwar,KE,3.1191,35.5973,79.52,53,41,5.5,scattered clouds
169,Hervey Bay,AU,-25.2986,152.8535,70.02,71,100,5.01,overcast clouds
170,Alofi,NU,-19.0595,-169.9187,82.29,83,20,6.91,few clouds
171,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,19.57,scattered clouds
172,Takapau,NZ,-40.0333,176.35,47.73,82,74,5.5,broken clouds
173,Zykovo,RU,55.9519,93.1461,70.54,83,95,2.89,light rain
174,Narsaq,GL,60.9167,-46.05,43.02,97,100,4.9,light rain
175,Zhanaozen,KZ,43.3,52.8,74.55,36,0,8.7,clear sky
176,Bandarbeyla,SO,9.4942,50.8122,80.1,65,96,33.78,overcast clouds
177,Pitlochry,GB,56.7051,-3.7343,54.27,98,100,3.49,overcast clouds
178,Faya,SA,18.3851,42.4509,66.72,33,27,4.23,scattered clouds
179,Bengkulu,ID,-3.8004,102.2655,80.08,77,56,1.92,broken clouds
180,Kentau,KZ,43.5206,68.5094,68.94,63,66,4.83,broken clouds
181,San Alberto,CO,7.7611,-73.3922,76.08,85,100,4.7,overcast clouds
182,Victoria,HK,22.2855,114.1577,86.38,80,100,11.99,light rain
183,Havelock,US,34.8791,-76.9013,78.75,75,100,0.0,overcast clouds
184,Souillac,MU,-20.5167,57.5167,68.38,68,40,10.36,scattered clouds
185,Azuaga,ES,38.2667,-5.6833,56.97,61,0,6.22,clear sky
186,Hami,CN,42.8,93.45,86.16,18,87,11.54,overcast clouds
187,Malindi,KE,-3.2175,40.1191,77.16,83,20,9.22,few clouds
188,Puerto Escondido,MX,15.85,-97.0667,79.16,89,100,2.86,overcast clouds
189,Guerrero Negro,MX,27.9769,-114.0611,69.08,65,7,15.12,clear sky
190,Pokhara,NP,28.2333,83.9833,75.78,73,2,2.51,clear sky
191,Bin Qirdan,TN,33.1378,11.2197,74.59,73,0,10.63,clear sky
192,Grand Forks,US,47.9417,-97.4337,71.53,88,75,4.61,broken clouds
193,Nikolskoye,RU,59.7035,30.7861,54.88,89,92,2.82,light rain
194,Sistranda,NO,63.7256,8.834,51.76,87,100,27.0,overcast clouds
195,Viedma,AR,-40.8135,-62.9967,41.5,63,39,10.11,scattered clouds
196,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,75,19.57,broken clouds
197,Tual,ID,-5.6667,132.75,81.68,77,57,11.72,broken clouds
198,Axim,GH,4.8699,-2.2405,75.33,91,87,5.59,light rain
199,Pisco,PE,-13.7,-76.2167,60.85,82,0,10.36,clear sky
200,Poronaysk,RU,49.2167,143.1167,54.95,82,56,9.33,broken clouds
201,Amot,NO,59.5714,7.9877,48.51,75,86,4.97,overcast clouds
202,Adrar,MR,20.5022,-10.0711,77.74,67,100,7.63,overcast clouds
203,Kabinda,CD,-6.1333,24.4833,66.85,69,6,3.0,clear sky
204,Dalvik,IS,65.9702,-18.5286,39.13,80,14,3.56,few clouds
205,Vao,NC,-22.6667,167.4833,70.09,66,8,17.31,clear sky
206,Flinders,AU,-34.5833,150.8552,65.05,69,100,4.0,overcast clouds
207,Peleduy,RU,59.6289,112.7406,48.54,88,100,10.38,overcast clouds
208,Elizabeth City,US,36.2946,-76.2511,70.02,70,0,4.61,clear sky
209,Yeppoon,AU,-23.1333,150.7333,71.38,67,80,12.88,broken clouds
210,Nuuk,GL,64.1835,-51.7216,32.61,100,75,21.85,mist
211,San Policarpo,PH,12.1791,125.5072,83.52,73,100,5.08,light rain
212,Mattru,SL,7.6244,-11.8332,72.54,98,100,1.77,moderate rain
213,Izhma,RU,65.0083,53.9113,57.63,72,100,8.97,overcast clouds
214,Trelew,AR,-43.249,-65.3051,37.47,65,7,11.65,clear sky
215,Anadyr,RU,64.75,177.4833,59.5,63,40,13.42,scattered clouds
216,Tromso,NO,69.6496,18.957,51.39,76,100,0.0,light rain
217,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,32.21,light rain
218,Mawlaik,MM,23.6333,94.4167,81.99,78,36,2.28,scattered clouds
219,Acapulco,MX,16.8634,-99.8901,82.22,83,100,0.0,overcast clouds
220,Bhopal,IN,23.2667,77.4,75.43,88,40,2.3,haze
221,Pombas,CV,17.1503,-25.0201,73.18,93,90,10.2,overcast clouds
222,Port Elizabeth,ZA,-33.918,25.5701,58.32,95,0,6.91,clear sky
223,Aanekoski,FI,62.6946,25.818,44.67,86,10,3.33,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,55.69,73,12,7.4,few clouds
225,Port Blair,IN,11.6667,92.75,84.24,79,75,8.05,broken clouds
226,Bazpur,IN,29.15,79.1167,88.34,36,1,3.33,clear sky
227,Itarema,BR,-2.9248,-39.9167,77.05,79,58,10.96,broken clouds
228,Antofagasta,CL,-23.65,-70.4,58.28,83,15,2.13,few clouds
229,Salinas,US,36.6777,-121.6555,85.01,43,0,8.05,clear sky
230,High Prairie,CA,55.4334,-116.4858,64.49,70,100,3.2,overcast clouds
231,Hurghada,EG,27.2574,33.8129,80.64,39,0,13.8,clear sky
232,Belyy Yar,RU,53.6039,91.3903,66.85,77,0,2.24,clear sky
233,Mao,ES,39.8885,4.2658,73.96,94,95,5.75,overcast clouds
234,College,US,64.8569,-147.8028,67.21,59,75,11.5,thunderstorm
235,Rio Cuarto,AR,-33.1307,-64.3499,43.66,55,98,5.01,overcast clouds
236,Chicama,PE,-7.8447,-79.1469,59.54,83,27,6.64,scattered clouds
237,Umea,SE,63.8284,20.2597,50.92,100,40,1.14,fog
238,Osa,RU,57.2829,55.4567,52.63,97,100,14.67,overcast clouds
239,Pringsewu,ID,-5.3582,104.9744,81.21,79,81,1.59,broken clouds
240,Tautira,PF,-17.7333,-149.15,79.36,73,64,14.54,broken clouds
241,Minna,NG,9.6139,6.5569,72.66,84,92,3.38,overcast clouds
242,Salina,US,38.8403,-97.6114,91.53,43,0,18.41,clear sky
243,Portmore,JM,17.9702,-76.8672,84.16,71,20,9.22,few clouds
244,Seoul,KR,37.5683,126.9778,85.6,60,0,5.75,haze
245,Sladkovo,RU,55.5284,70.3385,66.72,85,65,7.74,broken clouds
246,Belaya Gora,RU,68.5333,146.4167,49.87,39,21,4.94,few clouds
247,Nyanza,RW,-2.3519,29.7509,54.57,90,27,3.53,scattered clouds
248,Gladstone,AU,-23.85,151.25,73.78,49,75,9.22,broken clouds
249,Manta,EC,-0.95,-80.7333,74.98,83,100,4.61,overcast clouds
250,Igarka,RU,67.4667,86.5833,71.37,54,96,10.0,overcast clouds
251,Xai-Xai,MZ,-25.0519,33.6442,64.9,91,62,3.65,light rain
252,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,82,75,10.36,light rain
253,High Level,CA,58.5169,-117.136,69.91,46,75,5.75,broken clouds
254,Port Alfred,ZA,-33.5906,26.891,61.18,84,8,1.99,clear sky
255,Pangnirtung,CA,66.1451,-65.7125,41.38,72,2,3.65,clear sky
256,Zhigansk,RU,66.7697,123.3711,54.23,33,0,18.92,clear sky
257,Karabulak,RU,43.3036,44.8964,59.99,76,0,4.45,clear sky
258,Tuatapere,NZ,-46.1333,167.6833,48.99,60,0,2.82,clear sky
259,Kalemie,CD,-5.9475,29.1947,70.61,62,91,2.37,overcast clouds
260,Visby,SE,57.6409,18.296,53.82,94,100,0.0,overcast clouds
261,Whakatane,NZ,-37.9585,176.9854,57.51,66,49,5.99,scattered clouds
262,Cabedelo,BR,-6.9811,-34.8339,74.07,81,25,11.27,scattered clouds
263,Tahta,EG,26.7693,31.5021,79.3,37,0,13.2,clear sky
264,Lampang,TH,18.3333,99.5,89.28,58,20,5.75,few clouds
265,Sorland,NO,67.667,12.6934,49.86,94,100,36.98,light rain
266,Kinablangan,PH,7.6947,126.5503,84.31,71,63,3.49,broken clouds
267,Doume,CM,4.2333,13.45,65.41,100,98,1.34,light rain
268,Moroni,KM,-11.7022,43.2551,75.4,76,10,14.36,clear sky
269,Daura,NG,11.5538,11.4085,80.82,40,5,10.69,clear sky
270,Saint Anthony,US,45.0205,-93.218,92.98,49,0,17.27,clear sky
271,Atbasar,KZ,51.8,68.3333,68.56,62,3,10.58,clear sky
272,Road Town,VG,18.4167,-64.6167,80.69,78,40,8.05,scattered clouds
273,Srednekolymsk,RU,67.45,153.6833,51.01,37,10,8.32,clear sky
274,Betong,TH,5.7743,101.0723,79.38,82,77,1.88,broken clouds
275,Luwuk,ID,-0.9516,122.7875,83.93,72,51,7.29,broken clouds
276,Gat,IL,31.61,34.7642,72.28,100,76,4.92,broken clouds
277,Tukrah,LY,32.5341,20.5791,70.77,70,0,8.21,clear sky
278,Alyangula,AU,-13.8483,136.4192,80.01,57,89,15.1,overcast clouds
279,Kouango,CF,4.9934,19.9619,68.49,96,100,1.77,overcast clouds
280,Piterka,RU,50.6803,47.4454,68.13,88,30,3.85,scattered clouds
281,Panguna,PG,-6.3164,155.4848,83.98,53,41,2.39,scattered clouds
282,Lebu,CL,-37.6167,-73.65,47.73,89,100,11.74,overcast clouds
283,Malkara,TR,40.89,26.9011,58.68,90,0,2.21,clear sky
284,Marawi,PH,7.9986,124.2928,74.75,87,99,1.68,light rain
285,Kassala,SD,15.451,36.4,81.57,53,16,21.79,few clouds
286,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,55.42,78,0,3.24,clear sky
287,Paracuru,BR,-3.41,-39.0306,72.1,86,92,9.62,moderate rain
288,Sterling,US,39.0062,-77.4286,70.29,68,100,6.91,overcast clouds
289,Kendari,ID,-3.945,122.4989,79.81,83,94,0.76,overcast clouds
