City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
51,Barrow,US,57.22,71.2906,-156.7887,Utqiagvik
52,Porto Uniao,BR,55.33,-26.2381,-51.0783,Porto União
53,Kenai,US,65.03,60.5544,-151.2583,Kalifornsky
55,Isangel,VU,74.71,-19.55,169.2667,Isangel
57,Touros,BR,75.54,-5.1989,-35.4608,Touros
60,Hambantota,LK,80.94,6.1241,81.1185,Hambantota
62,Yellowknife,CA,72.12,62.456,-114.3525,Yellowknife
65,Harper,LR,74.12,4.375,-7.7169,Harper
67,Padang,ID,82.45,-0.9492,100.3543,Padang
68,Avarua,CK,82.45,-21.2078,-159.775,Avarua District
69,Pulandian,CN,79.43,39.3953,121.9669,Dalian
71,Hasaki,JP,84.29,35.7333,140.8333,Kamisu
72,Zhangye,CN,68.5,38.9342,100.4517,Zhangye
73,San Matias,BO,72.82,-16.3667,-58.4,San Matías
74,Cape Town,ZA,59.92,-33.9258,18.4232,Cape Town
75,Arraial Do Cabo,BR,69.76,-22.9661,-42.0278,Cabo Frio
77,Teya,RU,71.17,60.3778,92.6267,Teya
78,Lompoc,US,78.94,34.6391,-120.4579,Lompoc
81,Morgan City,US,84.99,29.6994,-91.2068,Morgan City
82,Lorengau,PG,82.69,-2.0226,147.2712,Lorengau
83,Talmenka,RU,68.38,53.8183,83.5677,Tal'menka
84,Hilo,US,80.28,19.7297,-155.09,Hilo
85,Milton,US,81.61,34.1322,-84.3007,Alpharetta
86,Arman,RU,59.02,59.7,150.1667,Arman'
87,Kapaa,US,82.38,22.0752,-159.319,Kapaʻa
88,Albany,US,64.81,42.6001,-73.9662,Voorheesville
89,Roald,NO,60.17,62.5833,6.1333,Roald
93,Thinadhoo,MV,82.94,0.5333,72.9333,
97,New Norfolk,AU,56.91,-42.7826,147.0587,New Norfolk
98,Jiwani,PK,82.47,25.05,61.7417,Jiwani
101,Suntar,RU,60.37,62.1444,117.6319,Suntar
102,El Ocote,HN,68.77,15.4167,-86.5667,Olanchito
103,Torbay,CA,60.28,47.6666,-52.7314,St. John's
104,Sumenep,ID,83.21,-7.0167,113.8667,Sumenep
105,Knysna,ZA,57.54,-34.0363,23.0471,Knysna
107,Acari,PE,63.25,-15.4311,-74.6158,A.h Pueblo Nuevo Acari
108,Hithadhoo,MV,82.85,-0.6,73.0833,Addu City
110,Norman Wells,CA,64.44,65.282,-126.8329,Norman Wells
113,Fereydunshahr,IR,59.11,32.941,50.121,Fereydunshahr
114,Saint-Joseph,RE,61.18,-21.3667,55.6167,Saint Joseph
115,Maceio,BR,74.64,-9.6658,-35.7353,Maceió
117,Airai,TL,68.65,-8.9266,125.4092,Atsabe
118,Mount Isa,AU,76.77,-20.7333,139.5,Mount Isa
120,Zhezkazgan,KZ,71.58,47.8043,67.7144,Zhezqazghan
121,Fortuna,US,64.85,40.5982,-124.1573,Fortuna
123,East London,ZA,61.7,-33.0153,27.9116,East London
124,Steamboat Springs,US,60.39,40.485,-106.8317,Steamboat Springs
125,Kolosovka,RU,65.43,56.4678,73.611,Kolosovka
126,Wakkanai,JP,62.58,45.4094,141.6739,Wakkanai
127,Asyut,EG,77.18,27.181,31.1837,Asyut
128,Katsuura,JP,75.78,35.1333,140.3,Katsuura
130,Homa Bay,KE,61.77,-0.5273,34.4571,Homa Bay
131,Bambous Virieux,MU,68.25,-20.3428,57.7575,Vieux Grand Port
132,Namibe,AO,58.42,-15.1961,12.1522,Namibe
133,Yinchuan,CN,76.06,38.4681,106.2731,Yinchuan
135,Castro,BR,56.37,-24.7911,-50.0119,Castro
137,Vuktyl,RU,62.49,63.8567,57.3094,Vuktyl
139,Vanimo,PG,84.74,-2.6741,141.3028,Vanimo
140,Butaritari,KI,82.71,3.0707,172.7902,Ukiangang
141,Oyem,GA,65.95,1.5995,11.5793,Oyem
142,Medford,US,78.53,42.3265,-122.8756,Medford
145,Weston,US,82.99,26.1004,-80.3998,Sunrise
146,Ust-Koksa,RU,62.92,50.2696,85.6108,Ust'-Koksa
147,Flin Flon,CA,58.98,54.7682,-101.865,Flin Flon
148,Havre,FR,56.34,49.5833,0.3333,Saint-Romain-de-Colbosc
149,Mayo,US,71.26,38.8876,-76.5119,Mayo
150,Bethel,US,66.94,41.3712,-73.414,Danbury
152,Fort Nelson,CA,69.39,58.8053,-122.7002,Fort Nelson
154,Verkhnevilyuysk,RU,57.99,63.4453,120.3167,Verkhneviliuisk
